class,freq,invalid
Pedestrians,52,0
Times,1,0
Square,7,0
Yamaha,0,0
stood,0,0
sled,125,0
unwrapping,0,0
material,14,0
sling,6,0
pillar,28,0
cobblestones,2,0
WheelPower,1,0
world,3,0
lovely,2,0
tide,9,0
celebratory,0,0
concession,0,0
eiffel,0,0
Colorful,0,0
armchair,2,0
dumpster,14,0
Ti,0,0
Chi,0,0
50,2,0
75,0,0
cents,0,0
used,2,0
sombrero,5,0
sail,15,0
forrest,2,0
claw,0,0
Amish,0,0
mules,5,0
retrieving,0,0
pets,6,0
Motorcyclist,7,0
daring,0,0
keeper,4,0
minds,1,0
lost,0,0
connection,0,0
Hawaii,0,0
fried,1,0
disposable,1,0
Couples,8,0
palace,0,0
grasps,0,0
handlebars,14,0
hidden,1,0
moon,14,0
etch,0,0
sketch,2,0
emergency,2,0
response,1,0
unit,0,0
grandfathers,0,0
viewed,0,0
Knotts,0,0
Berry,0,0
Farm,0,0
Visitors,5,0
partner,0,0
barefooted,0,0
warmth,0,0
vineyard,0,0
pins,21,0
improvised,0,0
transport,1,0
ACE,0,0
Racing,0,0
sprinkler,16,0
graduation,0,0
Parents,8,0
similarly,0,0
salute,0,0
Looking,0,0
delicacies,0,0
rollerblader,1,0
drying,0,0
banks,2,0
sharply,0,0
Chinatown,0,0
alike,0,0
scowling,0,0
flopping,0,0
waffle,3,0
proclaim,0,0
cause,0,0
European,0,0
communicating,0,0
raincoat,29,0
artists,25,0
avoid,0,0
pigtails,52,0
Speaker,1,0
pinstriped,0,0
karaoke,0,0
oversee,0,0
scraper,0,0
France,0,0
ballroom,0,0
explains,0,0
distorted,0,0
Grand,0,0
Canyon,0,0
Patrick,0,0
Day,0,0
cruiser,0,0
Business,0,0
Businessman,7,0
fetching,0,0
.a,0,0
souvenir,0,0
vintage,0,0
recipe,7,0
lotus,0,0
pods,1,0
ingredients,30,0
amused,0,0
creates,0,0
blur,0,0
solar,0,0
telescopes,11,0
radio,7,0
tuba,0,0
year,0,0
snowboards,8,0
upturned,1,0
Hollywood,0,0
Walk,0,0
Fame,0,0
boards,17,0
interestingly,0,0
feature,0,0
muzzled,0,0
wakeboarder,5,0
assists,0,0
fitted,0,0
praying,0,0
angles,1,0
soars,0,0
sculpt,0,0
closing,0,0
warming,0,0
poking,0,0
egg,18,0
fork,11,0
Pitcher,7,0
turtleneck,10,0
sweep,0,0
El,3,0
Corazon,0,0
weights,16,0
Photo,0,0
Blvd,0,0
sporting,4,0
chandeliers,5,0
equally,1,0
pillars,22,0
dominate,0,0
aloud,0,0
arrows,9,0
Redheaded,0,0
Flickr,0,0
badge,6,0
blonde,0,0
drumsticks,13,0
psychedelic,0,0
bathtub,29,0
crashing,0,0
feathers,29,0
Archaeologists,2,0
snowmobile,18,0
completely,0,0
fields,13,0
index,0,0
Seattle,0,0
Washington,6,0
alleyway,14,0
insecticide,0,0
Clyde,0,0
fatigues,19,0
ups,0,0
mats,18,0
action,2,0
terrain,12,0
pensive,0,0
McDonalds,5,0
marches,0,0
FedEx,0,0
Gold,2,0
Busy,0,0
checkout,3,0
every,2,0
travelling,0,0
barrier,21,0
hipsters,1,0
shocking,0,0
news,5,0
pagoda,0,0
once,0,0
Feeding,0,0
hungry,2,0
banana,13,0
popular,0,0
autographs,0,0
soaked,0,0
mum,0,0
mandolin,0,0
boa,1,0
baseman,10,0
decaying,0,0
access,0,0
expression,1,0
hiding,0,0
skimpy,3,0
raging,0,0
demolished,1,0
Liebherr,0,0
excavator,6,0
saucy,0,0
adds,0,0
french,1,0
names,3,0
fighters,12,0
Placing,0,0
my,3,0
intense,0,0
source,0,0
DOWNTOWN,0,0
Hockey,2,0
tinsel,5,0
bundled,0,0
Saris,0,0
ritual,0,0
curry,2,0
peddler,0,0
Scouts,1,0
Priests,2,0
noses,11,0
fur,52,0
contain,0,0
sunrise,4,0
shadows,24,0
finishes,0,0
liter,0,0
Sprite,0,0
elbow,11,0
spiked,0,0
cools,0,0
groundskeeper,0,0
collected,0,0
approach,0,0
goodbye,0,0
hurry,0,0
skaters,6,0
ties,20,0
origami,1,0
containig,0,0
Public,0,0
coaches,7,0
Olympic,3,0
Basketball,1,0
Mr.,2,0
Potato,0,0
features,0,0
desolate,1,0
highway,26,0
taught,0,0
Student,4,0
chow,1,0
mix,0,0
euro,1,0
plats,0,0
minivan,13,0
beards,7,0
share,3,0
trials,0,0
texts,1,0
checker,0,0
waffles,4,0
Vespa,0,0
hammering,0,0
Talking,0,0
Tube,0,0
lens,22,0
proudly,0,0
trains,19,0
canes,9,0
citizens,20,0
United,0,0
States,0,0
know,0,0
required,0,0
matches,1,0
cordless,0,0
drill,1,0
paperback,1,0
novel,2,0
billows,0,0
shark,6,0
Marching,0,0
gay,4,0
pride,1,0
support,2,0
clap,0,0
exploring,0,0
uneven,0,0
possible,2,0
roots,5,0
dried,5,0
flowed,0,0
girlfriend,16,0
homeless,1,0
fitness,1,0
equip,0,0
proclaiming,0,0
pain,2,0
illuminated,5,0
bulbs,0,0
Beatle,0,0
fabrics,8,0
poolside,4,0
trailer,41,0
Ethnic,0,0
Monopoly,9,0
shucking,0,0
shucker,0,0
angle,1,0
soft,4,0
songs,0,0
dramatically,0,0
condiment,0,0
eyebrow,3,0
piercing,2,0
powerful,0,0
elaborately,0,0
designed,0,0
vessel,6,0
Greyhound,3,0
somewhere,0,0
begging,0,0
speeding,0,0
carting,0,0
accomplishes,0,0
Lovely,0,0
tends,0,0
shelves,22,0
purses,33,0
logos,7,0
turbulent,0,0
finished,0,0
conical,1,0
consumers,3,0
quietly,0,0
cabin,6,0
explained,0,0
Khaki,0,0
1970,0,0
era,0,0
complete,1,0
gaudy,0,0
straws,3,0
custom,0,0
defaced,0,0
kickboxing,1,0
U,1,0
haul,2,0
disposing,0,0
mansion,2,0
Fluffy,0,0
Crazy,1,0
hippie,4,0
rage,0,0
via,0,0
hilly,3,0
peeking,0,0
manhole,1,0
coworker,2,0
pumpkin,32,0
Political,0,0
demonstrators,1,0
picket,0,0
drenched,0,0
role,0,0
rose,13,0
superior,0,0
thermos,1,0
binoculars,31,0
sipping,0,0
scratch,0,0
loads,1,0
observing,1,0
rickety,0,0
squinting,0,0
surprised,5,0
saxophone,17,0
peppers,10,0
comic,1,0
brandishing,0,0
Applebee,0,0
Dave,1,0
Buster,0,0
restaurants,4,0
clinching,0,0
prospect,0,0
hoodoos,1,0
stars,20,0
harnessed,0,0
turret,0,0
sunbathing,0,0
Bare,0,0
makeshift,7,0
pleased,0,0
mountainous,16,0
interacting,0,0
receding,0,0
putt,1,0
complex,6,0
shakes,0,0
follows,0,0
Poor,0,0
folk,2,0
panhandle,0,0
Chung,0,0
May,0,0
Market,2,0
skin,19,0
Behind,0,0
helped,0,0
91,0,0
skii,0,0
deciding,0,0
scoring,0,0
straddles,0,0
offerings,1,0
whist,0,0
lemons,8,0
simulating,0,0
shattering,0,0
homes,9,0
peruses,0,0
wakeboards,2,0
rife,0,0
trigger,0,0
Yongsan,0,0
Library,0,0
Nursing,0,0
sausages,20,0
adorable,0,0
Hotdog,1,0
motor,17,0
Mature,0,0
mist,5,0
floats,2,0
urinal,2,0
herd,3,0
cows,38,0
jelly,1,0
bean,2,0
mascot,12,0
chipping,0,0
alligator,3,0
reservoir,0,0
regular,0,0
windboarder,0,0
windboard,0,0
reeling,0,0
poverty,1,0
stricken,0,0
Boat,7,0
lion,14,0
hurried,0,0
allowed,0,0
primping,0,0
deeply,0,0
breakdancing,0,0
whatever,1,0
sidelines,0,0
chores,0,0
death,0,0
blood,17,0
Labors,1,0
climbed,0,0
Care,0,0
Bears,0,0
instructs,0,0
boxed,1,0
congregated,0,0
Serape,0,0
husband,16,0
serape,0,0
loudspeaker,1,0
quickly,0,0
Participants,4,0
snail,0,0
spider,2,0
web,0,0
peer,1,0
scientist,16,0
sex,2,0
bibs,2,0
wield,1,0
mallets,1,0
dine,0,0
crab,1,0
burger,3,0
wandering,0,0
Spain,0,0
browses,1,0
wands,0,0
nearing,0,0
exhaustion,0,0
struggle,0,0
cables,16,0
champagne,10,0
win,0,0
relax,0,0
futon,4,0
Crowded,0,0
flock,5,0
addresses,0,0
crank,0,0
curvy,1,0
corridor,3,0
blacktop,2,0
halloween,0,0
videotapes,0,0
rooster,10,0
perch,0,0
felled,0,0
silly,1,0
Brigada,1,0
locked,0,0
footing,0,0
salesman,4,0
heavily,1,0
SpongeBob,8,0
crown,13,0
lighted,4,0
All,3,0
yelling,0,0
loggers,0,0
removing,0,0
wheat,12,0
guide,2,0
Elementary,0,0
exposition,0,0
roping,0,0
poker,8,0
Nigerians,0,0
363,0,0
Ypoung,0,0
liberty,0,0
motionless,0,0
outstretched,2,0
aims,0,0
fireplace,28,0
laboratory,2,0
jagged,0,0
vast,0,0
railway,10,0
Yong,0,0
stomach,5,0
Renaissance,0,0
pitching,0,0
8026,1,1
ejects,0,0
cartridge,0,0
fired,0,0
shotgun,0,0
energetic,0,0
maternal,0,0
Local,0,0
trip,0,0
gorgeous,0,0
domino,0,0
amplifier,3,0
8,4,0
cotton,44,0
overlook,1,0
Well,0,0
hospital,2,0
latest,0,0
contestant,2,0
offering,0,0
poem,0,0
Nancy,2,0
Pelosi,0,0
Player,7,0
tag,25,0
Badminton,0,0
handicapped,0,0
helicopter,28,0
aircraft,4,0
cave,7,0
Crocs,4,0
strollers,26,0
modified,0,0
median,0,0
lanyards,1,0
daytime,0,0
traditionally,0,0
compete,0,0
archery,1,0
contest,0,0
reclines,0,0
fencers,2,0
bout,0,0
snows,0,0
washed,0,0
Rubbermaid,0,0
suds,3,0
AC,0,0
graveyard,0,0
grave,0,0
Chocolate,0,0
Lab,0,0
late,0,0
Teen,3,0
billiards,2,0
bulls,12,0
collects,0,0
p,0,0
tribe,3,0
spirit,1,0
backlit,3,0
supervises,1,0
saws,1,0
scientific,0,0
shielding,0,0
trampled,0,0
Bruins,1,0
Pittsburgh,1,0
Penguins,0,0
observers,3,0
handset,0,0
spruced,0,0
bespectacled,0,0
garbed,0,0
glider,13,0
rears,0,0
waiter,21,0
displaying,0,0
fine,3,0
bundling,0,0
Westerners,0,0
measuring,0,0
beaver,1,0
trapeze,2,0
daycare,0,0
afternoon,0,0
aggressively,0,0
potatoes,19,0
collect,0,0
lilypads,1,0
39,1,0
Health,0,0
m,0,0
hurting,0,0
bounced,0,0
forehead,34,0
adjustments,0,0
Jane,3,0
hopscotch,7,0
bonnet,1,0
pro,1,0
cuts,5,0
Motorcycle,11,0
storage,2,0
melted,0,0
cleans,0,0
baking,3,0
wrestlers,26,0
submission,0,0
could,0,0
Capris,2,0
photos,20,0
inflating,0,0
discuss,0,0
beers,28,0
power,14,0
freight,1,0
docking,0,0
temple,5,0
Oriental,0,0
identical,1,0
unique,2,0
roadside,4,0
deer,29,0
sid,0,0
texaco,0,0
adjusts,0,0
major,0,0
geese,22,0
focus,2,0
sesame,0,0
composed,0,0
layers,1,0
nuns,8,0
stuffing,0,0
zombie,1,0
watermelon,21,0
strawberries,9,0
meter,11,0
weathered,0,0
swirling,0,0
observe,0,0
specimen,0,0
grating,1,0
cheese,26,0
kilts,12,0
Mountain,6,0
Dew,0,0
juggles,0,0
belonging,0,0
shit,1,0
Pugs,1,0
handshake,0,0
GIDDAY,1,0
arranging,0,0
seashells,1,0
yet,0,0
pokes,0,0
weeping,0,0
willow,0,0
$,4,0
price,1,0
motif,0,0
altar,1,0
Rescue,0,0
Inside,0,0
bagged,0,0
duster,1,0
Seagulls,3,0
crashes,0,0
watched,0,0
airline,1,0
stewardess,5,0
installing,0,0
lessons,0,0
Musicians,27,3
hooks,4,0
peach,6,0
mule,15,0
impeach,0,0
consume,0,0
contemplates,1,0
tokens,0,0
racquet,2,0
necktie,7,0
trashcans,1,0
Winter,1,0
CBS,0,0
vases,5,0
jewelery,5,0
violinists,0,0
obscured,0,0
cellist,0,0
positions,0,0
labs,1,0
bookbags,1,0
fold,1,0
varying,0,0
degrees,0,0
interest,1,0
barber,27,0
Sisters,4,0
rocking,1,0
Dour,0,0
nude,3,0
sunhat,2,0
region,0,0
cloths,6,0
wheeling,0,0
defend,0,0
rise,0,0
Waves,1,0
salad,18,0
pirate,3,0
protection,6,0
stomachs,0,0
leis,5,0
somersaults,0,0
lingers,0,0
sundaes,0,0
transaction,0,0
barbell,1,0
Oracle,0,0
lounging,0,0
exiting,0,0
Musical,0,0
emote,0,0
portly,1,0
tracksuit,23,0
fedora,20,0
fax,0,0
hapy,0,0
breads,3,0
Lite,0,0
Beer,0,0
grins,0,0
hudge,0,0
lingerie,12,0
Supporters,1,0
leashes,29,0
avoiding,0,0
fully,1,0
bordered,0,0
media,1,0
gypsy,0,0
rimmed,0,0
gloss,0,0
drags,0,0
steer,6,0
answers,0,0
telephones,2,0
reveals,0,0
jarred,0,0
Newlywed,0,0
Circus,0,0
actors,9,0
untidy,0,0
attendant,10,0
waling,0,0
pray,0,0
frog,4,0
commencing,0,0
jug,15,0
dim,0,0
Amble,0,0
loaded,0,0
traps,1,0
Marvel,0,0
filleted,0,0
super,0,0
soaker,0,0
anorak,2,0
bill,0,0
bluegrass,0,0
recoils,0,0
impact,0,0
Riverview,0,0
School,5,0
Kiltie,0,0
Parade,1,0
twirling,0,0
ATMs,1,0
onion,9,0
interviewed,0,0
formally,0,0
stereo,2,0
gymnasium,0,0
blocked,0,0
brings,0,0
mixes,0,0
nibbling,0,0
squirted,0,0
solider,8,0
sprinting,0,0
fiddling,0,0
artifacts,4,0
babies,34,0
41,0,0
marked,1,0
laces,0,0
bowties,4,0
comedy,0,0
mirrored,1,0
newsie,0,0
clicks,0,0
cue,0,0
lay,0,0
wrangling,0,0
sales,0,0
Power,0,0
Ranger,0,0
kit,2,0
airlifted,0,0
danger,0,0
propels,0,0
flows,0,0
sniffed,0,0
fives,0,0
Teenagers,21,0
common,1,0
feels,0,0
fishers,1,0
chainsaw,0,0
pickup,1,0
belted,0,0
sweatsuit,2,0
trivial,0,0
corral,2,0
populated,0,0
quilt,4,0
cosplay,1,0
farmhand,0,0
livestock,5,0
auction,0,0
receiving,0,0
shipping,0,0
Jim,5,0
grimace,0,0
Jennifer,0,0
Nettles,0,0
Kristin,0,0
Bush,2,0
Sugarland,1,0
documents,4,0
folder,6,0
yo,2,0
shove,0,0
negligent,0,0
bemusement,0,0
prints,5,0
hooked,0,0
beaming,0,0
Boats,4,0
96,1,0
Republicans,1,0
stole,0,0
your,4,0
hahaha,0,0
Peoples,1,0
sorta,0,0
blossoms,11,0
launched,0,0
bland,0,0
tasteless,0,0
rugs,9,0
packs,2,0
gallops,1,0
flooded,1,0
bring,0,0
supplies,19,0
affixed,0,0
tussling,0,0
concentrating,0,0
pops,0,0
Popsicle,0,0
ollies,0,0
Amsterdam,0,0
graffti,0,0
tutus,7,0
Moto,1,0
GP,0,0
york,0,0
Closeup,0,0
Sooners,1,0
ceramic,4,0
Chicago,0,0
demolition,2,0
sleigh,4,0
favorite,0,0
article,1,0
interview,0,0
physically,0,0
O,0,0
Oh,1,0
mudding,0,0
got,0,0
salmon,4,0
restrained,0,0
chins,0,0
projection,0,0
demonstrate,0,0
effectiveness,0,0
marketing,0,0
classrooms,0,0
aerial,0,0
washer,7,0
playful,0,0
utility,0,0
swampy,0,0
torch,12,0
poorer,0,0
nation,0,0
frolics,0,0
skydivers,5,0
Fans,16,0
grand,0,0
Flowers,4,0
Pumpkins,1,0
oar,10,0
wrap,7,0
cornfield,0,0
pave,0,0
tar,2,0
hollow,0,0
Dane,0,0
pebbles,5,0
sweats,5,0
glares,0,0
kennel,2,0
UFC,0,0
duke,1,0
refreshments,10,0
casket,0,0
tanned,1,0
surfs,0,0
consulting,0,0
yankee,0,0
pulley,5,0
bagging,0,0
veg,1,0
partial,0,0
canyon,18,0
silversmith,0,0
bouncy,0,0
piggyback,4,0
pet,6,0
kangaroo,1,0
crocheted,0,0
impoverished,0,0
locking,0,0
apprehending,0,0
suspect,4,0
Louis,0,0
Vuitton,0,0
bearer,2,0
olympics,0,0
boxer,25,0
stretched,2,0
Bird,2,0
storefront,17,0
acting,1,0
hast,0,0
ethnicities,0,0
bale,2,0
Starbucks,2,0
Stripper,1,0
sprawling,0,0
gears,4,0
Farmers,3,0
tend,0,0
prunes,0,0
sparsely,0,0
leafed,0,0
woven,3,0
professionals,10,0
consult,0,0
perfom,0,0
holder,4,0
Teaching,0,0
notebooks,9,0
tone,0,0
crutches,18,0
apparently,0,0
disabled,0,0
charging,0,0
banquet,0,0
princess,15,0
litter,5,0
barricaded,0,0
surrounds,0,0
rapper,3,0
Autumn,0,0
corded,0,0
towed,0,0
guitarists,5,0
trombonist,0,0
billowing,0,0
passed,0,0
meals,4,0
solo,1,0
grownup,1,0
spot,15,0
claps,0,0
Buzzcock,0,0
stoplight,5,0
desks,29,0
sanitation,0,0
carton,6,0
Winston,0,0
calling,0,0
nervously,0,0
pre,0,0
stubby,0,0
tale,0,0
origin,0,0
communal,0,0
letting,0,0
Jobs,0,0
Justice,1,0
gleefully,0,0
arrive,0,0
carpeted,1,0
enthusiasm,0,0
goatee,23,0
locals,6,0
printing,0,0
silhouettes,1,0
decorate,0,0
Chevy,1,0
messenger,0,0
creatively,0,0
movie,6,0
gi,0,0
executes,0,0
rubber,17,0
Vocalist,1,0
vaulted,0,0
Sublime,3,3
height,1,0
cocktail,2,0
violins,19,0
likely,0,0
Formal,0,0
hispanic,0,0
mobile,8,0
frosted,0,0
carving,1,0
applauding,0,0
Scrabble,1,0
goose,11,0
containing,0,0
witnessing,0,0
dinosaur,6,0
exhibt,0,0
crash,0,0
speaker,11,0
wipes,0,0
patterned,1,0
shortly,0,0
rained,0,0
wheelers,2,0
demanding,0,0
reeds,8,0
demonstrates,0,0
sound,9,0
ban,2,0
He,0,0
clarinets,2,0
kneel,0,0
Somebody,5,0
responders,4,0
directs,0,0
visibly,0,0
smirking,0,0
climate,0,0
knelt,0,0
Taller,0,0
Nurses,6,0
muscles,2,0
flowery,0,0
inline,0,0
tosses,0,0
locale,0,0
Prop,0,0
16,0,0
leads,0,0
serviceman,0,0
chains,16,0
document,0,0
fringe,0,0
beating,1,0
images,9,0
mouse,6,0
Basket,1,0
arch,18,0
balconies,10,0
Gentleman,14,0
bathrobes,0,0
Motorcyclists,4,0
brothers,10,0
love,4,0
zoo,2,0
especially,0,0
Billy,1,0
Goat,0,0
Baskets,0,0
cabbage,2,0
beans,8,0
chew,0,0
Calvin,1,0
Klein,0,0
sledding,1,0
fog,15,0
ecstatically,0,0
rafts,16,0
Hair,2,0
stylist,2,0
cooked,6,0
Trying,0,0
blend,0,0
any,1,0
rummaging,0,0
exhaling,0,0
25,0,0
kiteboarder,1,0
navigating,0,0
watercraft,10,0
partly,0,0
exhibits,1,0
camper,11,0
photographing,0,0
vine,6,0
salads,3,0
rusting,0,0
oil,4,0
pipeline,0,0
backstrokes,0,0
accompany,0,0
western,0,0
limousine,2,0
archway,13,0
Costco,1,0
acquaintance,0,0
Minor,0,0
league,2,0
extra,1,0
shares,1,0
passion,0,0
Awesome,0,0
sheared,0,0
wards,0,0
budget,0,0
charity,0,0
thoroughly,0,0
saturated,0,0
vanilla,2,0
system,3,0
arriving,0,0
California,0,0
Cruz,0,0
tap,2,0
dozen,0,0
&,2,0
clothed,2,0
Lynyrd,0,0
Skynyrd,5,0
ariel,0,0
cradles,0,0
rolled,1,0
wheelbarrows,6,0
skated,0,0
risk,0,0
canal,7,0
chessboard,1,0
Skimply,0,0
cowgirl,8,0
barbwire,0,0
herding,0,0
expanse,0,0
pump,3,0
addressed,0,0
president,0,0
grounds,0,0
reporter,6,0
everything,1,0
gunning,0,0
traversing,0,0
Few,0,0
bicycling,4,0
Mardi,2,0
Gras,1,0
vacuuming,0,0
syringe,0,0
busts,1,0
fastball,1,0
Umpire,1,0
UPS,1,0
sparklers,17,0
wording,0,0
rackets,2,0
dodge,0,0
subject,1,0
oboe,1,0
workman,8,0
clutching,0,0
crotch,1,0
cements,0,0
Bannister,0,0
staining,0,0
handrails,2,0
gleeful,0,0
eagerly,0,0
exerting,0,0
trim,2,0
tightly,0,0
smoked,1,0
sat,1,0
smock,2,0
clever,0,0
throes,0,0
ballgame,0,0
aim,1,0
gentle,0,0
zombies,3,0
goth,0,0
led,0,0
director,2,0
grown,0,0
windbreakers,1,0
colonial,0,0
plunged,0,0
transporting,0,0
stretcher,0,0
fry,6,0
signals,1,0
pretends,0,0
point,8,0
braces,4,0
bundle,0,0
backed,0,0
measures,0,0
jigger,0,0
bye,1,0
Alone,0,0
crop,5,0
rearing,0,0
teaching,0,0
placed,0,0
amazed,0,0
glaring,0,0
slums,0,0
grapevines,0,0
rubble,11,0
shrouded,0,0
Capturing,0,0
beauty,5,0
shining,0,0
Korean,0,0
browse,0,0
Carhart,0,0
re,2,0
tongues,8,0
chews,0,0
teething,2,0
pastel,1,0
wanting,0,0
protect,0,0
moss,2,0
partially,0,0
seesaw,1,0
snorkeling,1,0
accordions,3,0
diner,9,0
Sweeping,0,0
carefully,1,0
passionate,0,0
microscopes,21,0
chemicals,3,0
petri,0,0
handheld,1,0
chin,12,0
enterance,0,0
reenactment,0,0
Powell,1,0
taylor,1,0
flew,0,0
hairnet,3,0
razor,13,0
slip,1,0
diver,17,0
concealed,0,0
photography,4,0
landmark,1,0
hides,1,0
overgrown,0,0
Music,1,0
Hall,0,0
chine,0,0
pointy,0,0
Brightly,0,0
piled,0,0
handcrafted,0,0
confused,0,0
tropics,0,0
probing,0,0
polite,0,0
Clothes,1,0
hung,0,0
sleeves,40,0
shocked,1,0
sees,0,0
visitors,8,0
mussel,0,0
text,8,0
messaging,1,0
skull,20,0
turkey,16,0
lizard,1,0
blacksmith,7,0
ceremony,0,0
Bizarre,0,0
goddess,0,0
hairy,3,0
terrible,0,0
mistake,0,0
hilltop,4,0
Baseball,3,0
redwood,0,0
pulleys,2,0
solitude,1,0
cheerleaders,52,0
stoking,0,0
batting,2,0
snap,0,0
plateau,1,0
Window,4,0
washers,0,0
intimate,0,0
cheerleader,12,0
exam,0,0
conductor,7,0
Golden,6,0
Retriever,2,0
responded,0,0
attends,0,0
panted,0,0
ankle,4,0
bells,3,0
pearl,0,0
create,0,0
Ugg,0,0
clogs,2,0
baton,0,0
here,0,0
shrine,5,0
technical,0,0
cellular,0,0
transformer,0,0
dishwashing,0,0
beat,0,0
tuxedo,36,0
tiered,0,0
feed,1,0
rapid,0,0
quaint,1,0
Oklahoma,0,0
Sooner,0,0
Hiker,6,0
sparring,0,0
Younger,0,0
backstroke,1,0
ringing,1,0
bell,5,0
Colored,0,0
headless,0,0
engaging,0,0
hatchet,0,0
ribbons,20,0
Right,0,0
brace,2,0
production,0,0
Dollar,0,0
Under,0,0
framing,0,0
bonfire,2,0
fisheye,0,0
aerially,0,0
skillet,12,0
soup,16,0
boiling,0,0
campfire,7,0
girder,2,0
cubicles,2,0
flustered,0,0
Gerrard,0,0
Beatles,2,0
Story,0,0
Exhibition,0,0
Liverpool,0,0
Hike,1,0
canyons,0,0
tests,0,0
stamina,0,0
floored,0,0
pretend,4,0
participant,4,0
Yankees,2,0
duct,3,0
repaired,0,0
divine,0,0
went,0,0
brownish,0,0
dreads,13,0
grinds,0,0
beams,14,0
undergoing,0,0
refurbishment,0,0
vista,0,0
wineglasses,12,0
rabbits,19,0
beaker,11,0
automated,0,0
stile,0,0
pastries,15,0
pig,21,0
carcass,0,0
write,0,0
blackboard,0,0
balled,0,0
kites,18,0
surgery,5,0
bemused,0,0
touring,0,0
timers,0,0
rafters,3,0
shores,0,0
loses,0,0
stepladder,1,0
assault,0,0
rifle,2,0
Rollerblades,17,0
root,1,0
slicing,0,0
9,2,0
conspiracy,0,0
theory,0,0
connected,0,0
paraglide,0,0
shored,0,0
stared,0,0
smiley,0,0
scrambling,0,0
adventures,0,0
Rodeo,3,0
shepherd,25,0
pocket,3,0
doctors,24,0
involved,0,0
operation,0,0
Crew,0,0
separately,0,0
contact,2,0
welders,0,0
partying,0,0
spicy,0,0
chili,0,0
fumes,0,0
moose,2,0
RVS,0,0
cadet,2,0
ceremonies,0,0
veterans,4,0
whittles,0,0
own,1,0
mime,0,0
Russian,0,0
Walking,0,0
hotdogs,33,0
leave,1,0
vacant,1,0
retreat,0,0
drafting,0,0
defended,0,0
opposition,0,0
presents,27,0
code,0,0
find,0,0
associated,0,0
carousel,0,0
boutique,0,0
darts,8,0
changes,0,0
stride,1,0
spigot,0,0
Dirty,0,0
shawled,0,0
windmill,0,0
entire,0,0
parallel,3,0
charge,0,0
unguarded,0,0
stringing,0,0
metropolitan,1,0
dingy,0,0
scottish,0,0
Hmong,0,0
Las,0,0
Vegas,0,0
un,0,0
extremely,0,0
crushes,0,0
should,0,0
slingshot,0,0
Greyhounds,5,0
today,0,0
stopping,0,0
sewers,0,0
BMW,7,0
stoppie,0,0
soundboard,0,0
occupying,0,0
entertain,0,0
latino,0,0
pastor,3,0
n,0,0
thought,0,0
exhibition,0,0
Policy,0,0
Summit,0,0
Los,0,0
Angele,0,0
handhold,0,0
organized,1,0
muscular,1,0
guarded,0,0
policemen,36,0
limes,4,0
bangs,8,0
operate,0,0
kayaker,21,0
tumbles,0,0
romantic,1,0
vacuums,0,0
series,0,0
Amid,0,0
rescued,0,0
Derek,1,0
Jeter,0,0
markers,3,0
scrap,0,0
mementos,0,0
travels,0,0
hangar,0,0
berry,2,0
snoozing,0,0
melons,10,0
raw,1,0
bunchh,0,0
rip,0,0
dropped,0,0
straining,0,0
lettering,8,0
spelling,0,0
stheart,0,0
bake,0,0
awe,0,0
walkathon,0,0
hiply,0,0
ODEON,0,0
hogs,1,0
cages,10,0
dogsled,0,0
exhibiting,0,0
Exhibit,0,0
Swimmer,7,0
percussion,2,0
elevators,1,0
sizable,0,0
hunting,0,0
hyping,0,0
playgym,0,0
lassoing,0,0
lumber,11,0
Yerba,0,0
Buena,0,0
Arts,0,0
showers,1,0
henna,1,0
alto,0,0
knits,1,0
textile,4,0
twenties,0,0
Rays,0,0
poke,0,0
slits,0,0
illuminate,0,0
golfer,18,0
adjacent,0,0
boating,0,0
docs,0,0
facility,2,0
boulders,14,0
came,0,0
send,0,0
rounding,0,0
velocity,0,0
cramped,0,0
quarters,2,0
NYC,2,0
Childern,1,0
cheetah,0,0
flurry,0,0
mics,1,0
heel,1,0
Dior,2,0
till,0,0
Nice,0,0
bait,2,0
Underground,0,0
Indonesian,0,0
Nitro,0,0
controls,6,0
Russell,0,0
Terrier,8,0
creams,0,0
describing,0,0
software,0,0
trails,1,0
twelve,1,0
Partially,0,0
gesticulates,0,0
reacts,0,0
sanding,1,0
profile,2,0
offstage,0,0
purchases,2,0
Distant,0,0
appetizers,1,0
blown,0,0
survivors,0,0
sunken,0,0
notepad,3,0
mallet,1,0
wits,0,0
patience,0,0
turban,35,0
derssed,0,0
washes,0,0
frowns,2,0
filmed,0,0
jujitsu,0,0
furnished,1,0
bookshelves,5,0
Dora,0,0
Explorer,1,0
fantasy,0,0
Broad,0,0
St.,0,0
newsstand,1,0
lamb,6,0
rotisserie,1,0
squeezes,0,0
sauce,10,0
foil,8,0
straps,13,0
higher,0,0
although,0,0
difficulties,0,0
tickled,0,0
Audience,1,0
message,0,0
bearing,1,0
Blackberry,1,0
pinches,0,0
brow,0,0
scampers,0,0
crate,12,0
khakis,29,0
adventure,0,0
stomped,0,0
growing,1,0
upright,2,0
Blue,4,0
mosaic,4,0
plywood,8,0
drawings,9,0
pickings,0,0
dazzling,1,0
attracts,0,0
wrestles,0,0
staked,0,0
pothole,0,0
medals,6,0
propped,0,0
buff,0,0
county,0,0
picturesque,0,0
han,0,0
seeing,0,0
mythical,0,0
parasails,1,0
adorn,0,0
actively,0,0
contesting,0,0
Turkish,0,0
slung,0,0
